Semut,Step,Dari Kota,Ke Kota,Jarak,Pheromone,Probabilitas,Random R,Keputusan,Rute Sementara
Semut 92,2,13,27,185.0676,0.000294,0.437810,0.529534,Pindah ke Kota 27,14-13-27
Semut 92,3,27,28,110.1136,0.000369,0.488815,0.721361,Pindah ke Kota 28,14-13-27-28
Semut 92,52,11,14,619.5563,0.000116,1.000000,0.000000,Kembali ke Awal (Kota 14),14-13-27-28-36-35-34-44-45-19-41-8-9-10-43-4-40-39-15-5-6-38-37-22-1-32-49-21-30-2-7-42-17-29-50-20-16-46-25-12-51-48-24-18-31-23-3-33-26-47-52-11-14
Semut 93,1,27,26,126.1943,0.000298,0.254098,0.290276,Pindah ke Kota 26,27-26
Semut 93,2,26,28,158.9025,0.000186,0.258695,0.300601,Pindah ke Kota 28,27-26-28
Semut 93,3,28,12,182.4829,0.000210,0.332618,0.437693,Pindah ke Kota 12,27-26-28-12
Semut 93,52,17,27,1226.0200,0.000062,1.000000,0.000000,Kembali ke Awal (Kota 27),27-26-28-12-40-39-34-35-36-22-1-49-32-25-6-46-4-48-24-38-42-2-7-20-50-23-30-21-45-19-41-8-9-10-43-15-5-37-44-16-29-31-18-33-11-52-13-14-47-51-3-17-27
Semut 94,1,11,13,442.7189,0.000261,0.107457,0.132270,Pindah ke Kota 13,11-13
Semut 94,2,13,27,185.0676,0.000312,0.297313,0.770773,Pindah ke Kota 27,11-13-27
Semut 94,3,27,47,291.5476,0.000111,0.021358,0.960418,Pindah ke Kota 47,11-13-27-47
Semut 94,52,17,11,1460.6933,0.000075,1.000000,0.000000,Kembali ke Awal (Kota 11),11-13-27-47-35-36-34-44-49-32-18-31-21-23-28-25-4-48-24-6-15-5-38-37-39-40-41-8-9-10-45-19-3-33-26-52-14-7-2-42-30-29-50-20-16-46-12-51-43-22-1-17-11
Semut 95,1,29,50,191.3766,0.000208,0.204387,0.844073,Pindah ke Kota 50,29-50
Semut 95,2,50,20,35.3553,0.000668,0.920557,0.722725,Pindah ke Kota 20,29-50-20
Semut 95,3,20,16,165.0757,0.000243,0.172518,0.173780,Pindah ke Kota 16,29-50-20-16
Semut 95,52,21,29,459.1568,0.000067,1.000000,0.000000,Kembali ke Awal (Kota 29),29-50-20-16-28-51-12-11-13-47-14-3-23-42-7-2-48-24-38-37-44-46-17-4-25-33-22-1-39-40-35-36-52-26-27-34-49-32-45-19-41-8-9-10-5-15-6-43-31-18-30-21-29
Semut 96,1,7,2,45.0000,0.000699,0.841922,0.249887,Pindah ke Kota 2,7-2
Semut 96,2,2,42,102.5914,0.000382,0.876436,0.340889,Pindah ke Kota 42,7-2-42
Semut 96,3,42,26,1120.1004,0.000065,0.005717,0.527871,Pindah ke Kota 26,7-2-42-26
Semut 96,52,4,7,1026.3649,0.000045,1.000000,0.000000,Kembali ke Awal (Kota 7),7-2-42-26-27-28-25-6-5-38-37-44-34-35-36-39-40-48-24-15-43-31-18-32-49-1-22-3-17-21-30-23-20-50-29-16-46-45-19-41-8-10-9-33-51-11-52-47-13-14-12-4-7
Semut 97,1,29,16,200.8109,0.000275,0.235816,0.096167,Pindah ke Kota 16,29-16
Semut 97,2,16,44,132.3820,0.000144,0.142917,0.476446,Pindah ke Kota 44,29-16-44
Semut 97,3,44,46,130.8625,0.000151,0.066916,0.863994,Pindah ke Kota 46,29-16-44-46
Semut 97,52,47,29,522.8049,0.000049,1.000000,0.000000,Kembali ke Awal (Kota 29),29-16-44-46-6-5-15-24-48-38-40-39-37-49-32-34-35-36-22-1-31-18-3-41-8-9-10-45-19-17-42-7-2-30-20-50-11-14-13-26-27-28-12-51-25-4-21-23-33-43-52-47-29
Semut 98,1,21,30,241.5057,0.000364,0.178460,0.602821,Pindah ke Kota 30,21-30
Semut 98,2,30,42,315.1587,0.000170,0.068403,0.821638,Pindah ke Kota 42,21-30-42
Semut 98,3,42,7,76.1577,0.000364,0.595760,0.366969,Pindah ke Kota 7,21-30-42-7
Semut 98,52,13,21,1194.7594,0.000036,1.000000,0.000000,Kembali ke Awal (Kota 21),21-30-42-7-2-16-41-8-9-10-45-49-1-22-32-43-4-6-5-38-37-40-39-35-36-34-44-46-25-28-27-26-47-52-11-51-12-33-31-18-3-19-24-48-15-23-50-20-29-17-14-13-21
Semut 99,1,3,19,207.0024,0.000191,0.105078,0.575198,Pindah ke Kota 19,3-19
Semut 99,2,19,41,91.9239,0.000340,0.239095,0.209221,Pindah ke Kota 41,3-19-41
Semut 99,3,41,18,330.4921,0.000041,0.002161,0.963494,Pindah ke Kota 18,3-19-41-18
Semut 99,52,17,3,217.3131,0.000204,1.000000,0.000000,Kembali ke Awal (Kota 3),3-19-41-18-31-1-49-32-6-5-15-38-37-34-35-36-39-40-48-24-22-21-29-16-44-46-33-25-4-43-10-9-8-45-27-26-28-11-51-12-20-50-23-30-42-2-7-47-52-14-13-17-3
Semut 100,1,35,36,15.0000,0.000709,0.715086,0.908613,Pindah ke Kota 36,35-36
Semut 100,2,36,39,43.0116,0.000355,0.504899,0.540514,Pindah ke Kota 39,35-36-39
Semut 100,3,39,40,42.7200,0.000570,0.702342,0.762785,Pindah ke Kota 40,35-36-39-40
Semut 100,52,52,35,1111.5417,0.000030,1.000000,0.000000,Kembali ke Awal (Kota 35),35-36-39-40-38-37-49-32-18-31-21-2-7-42-11-51-12-24-48-5-6-15-4-25-46-44-34-1-22-9-10-43-17-3-45-19-8-41-47-14-13-27-26-28-50-20-16-29-23-30-33-52-35
